Mayur Vihar Phase 3; 4,353 - 13,514 / sqft; 11,671.68 / sqft;-
Mohan Garden; 5,583 / sqft; 5,583.33 / sqft;-32.9%
Sector 23B Dwarka; 9,688 / sqft; 9,687.5 / sqft;-
Shakarpur Khas; 8,025 / sqft; 8,24.69 / sqft;-
Azadpur; 12,821 / sqft; 12,820.51 / sqft;-27.3%
Central Ridge Reserve Forest;-;-;-
Om Enclave Mithapur Extension;-;-;-
Sahibabad; 2,444 - 10,667 / sqft; 6,884.92 / sqft;-
Sector 18 Rohini;-;-;-
Sector 24 Dwarka; 5,000 - 7,381 / sqft; 6,737.31 / sqft;-15.9%
Shaheen Bagh;-;-;8.2%
Sriniwas Puri;-;-;-
Sudarshan Park; 5,897 / sqft; 5,897.44 / sqft;-
Zakir Nagar; 3,838 - 4,722 / sqft; 4,722 / sqft;21%
Chandni Chowk; 4,125 - 4,444 / sqft; 4,284.72 / sqft;-
Geeta Colony; 5,952 / sqft; 5,952.38 / sqft;-28.7%
Kailash hills;-;-;-17.6%
Mohan Cooperative Industrial Estate;-;-;-
Noida; 5,546 - 5,665 / sqft; 5,605.5 / sqft;-2.4%
param puri; 4,222 / sqft; 4,222.22 / sqft;-
Saket Road; 3,555 - 3,900 / sqft; 3,785 / sqft;-
Sector-29 Rohini;-;-;70.5%
Shakti Nagar;-;-;21.9%
B K Dutt Colony;-;-;-52%
Barakhamba Road;-;-;47.2%
Dhimar Mohalla Madanpur Khadar;-;-;-
Faridabad Road;-;-;-
Loni; 1,500 - 3,000 / sqft; 2,197.92 / sqft;-
Mathura Road Sarita Vihar;-;-;-
Okhla Industrial Area;-;-;-
Okhla Phase I;-;-;-
Prakash Mohalla;-;-;-
Rohini Extension; 2,786 - 15,556 / sqft; 6,116.89 / sqft;-
Tri Nagar; 6,673 - 10,769 / sqft; 10,512.82 / sqft;-
West Shalimar Bagh; 6,667 - 20,938 / sqft; 16,587.12 / sqft;-
Jaunapur; 3,374 - 3,778 / sqft; 3,676.79 / sqft;-
Amritpuri;-;-;70.2%
Chattarpur Enclave Phase 2; 3,703 - 4,074 / sqft; 4,55.5 / sqft;2.7%
Jangpura Extension;-;-;-
Jhil Mil Colony;-;-;-
Kailash Colony;-;-;-45.6%
Kamla Nagar;-;-;66%
Lalita Park;-;-;-
Mandoli;-;-;-
Sanjay Colony;-;-;-
Shiv Nagar;-;-;-
South Delhi;-;-;-26.7%
Vinod Nagar North;-;-;-
Sector 21 Dwarka; 4,375 - 12,500 / sqft; 8,673.35 / sqft;-
Ali;-;-;-
batla house;-;-;65.5%
Govindpuri Extension New Delhi;-;-;-45.9%
PANCHSHEEL VIHAR;-;-;-
Paryavaran Complex; 3,086 - 4,210 / sqft; 3,817 / sqft;-1.6%
Sector 16 Dwarka; 4,308 / sqft; 4,307.69 / sqft;-
Sector 35 Rohini; 4,167 - 4,286 / sqft; 4,285.71 / sqft;-
Sitapuri; 5,510 / sqft; 5,510.2 / sqft;-
West Punjabi Bagh;-;-;-12.1%
Sector 26 Dwarka; 6,707 - 6,996 / sqft; 6,943.34 / sqft;-4.5%
Ashram;-;-;-7.4%
Block WZ Basai Dara pur;-;-;-
Dwarka More; 1,000 - 9,529 / sqft; 5,264.57 / sqft;46.3%
Ganesh Nagar;-;-;-
Jamia Nagar Gaffar Manzil Extension;-;-;-
Kalkaji Extension;-;-;-12.5%
Kishangarh Village New Delhi; 3,333 / sqft; 3,333.33 / sqft;13.6%
Prem Nagar Road;-;-;-
Pul Prahladpur;-;-;-
R.K. Puram; 6,393 - 37,906 / sqft; 16,897.67 / sqft;-
Sanjay Colony Okhla Phase II;-;-;-
Sector 29 Rohini; 4,444 - 9,394 / sqft; 7,980.91 / sqft;-
Sector-D Vasant Kunj; 11,750 - 16,667 / sqft; 15,729.17 / sqft;-8.9%
Shakurbasti;-;-;-
Vasant Kunj Sector A; 6,111 / sqft; 6,111.11 / sqft;-
Mandi; 3,599 / sqft; 3,598.97 / sqft;-20.3%
Anand Lok;-;-;3918.3%
Dashrath Puri;-;-;-
duggal housing complex; 3,400 - 4,210 / sqft; 3,871.43 / sqft;-
Johripur;-;-;-
Lodhi Estate;-;-;-
Madangir Village;-;-;-
Pochanpur Colony; 8,788 - 11,333 / sqft; 10,60.61 / sqft;-
Raju Park; 4,560 / sqft; 4,560 / sqft;39.9%
Sabzi Mandi Old; 7,186 / sqft; 7,185.63 / sqft;-
Saraswati Vihar;-;-;-
Sidhartha Nagar; 8,056 / sqft; 8,55.56 / sqft;-
Tilak Marg;-;-;-
Ujwa;-;-;-
Uttam Nagar East;-;-;35.4%
Vani Vihar New Uttam Nagar;-;-;-
Ajmeri Gate; 2,425 / sqft; 2,425 / sqft;-
Batla House New Delhi;-;-;-6.3%
Chattarpur Enclave; 3,333 - 3,456 / sqft; 3,456 / sqft;16%
Chirag Dilli; 4,000 - 10,714 / sqft; 7,793.65 / sqft;-
Dakshin Puri;-;-;173.8%
Delhi; 20,000 / sqft; 20,000 / sqft;77.1%
Dera Mandi;-;-;-16%
DWARKA SEC 23;-;-;-40.6%
Gurgaon Delhi Expressway; 6,346 / sqft; 6,346.33 / sqft;-
IGNOU Road; 3,013 - 3,703 / sqft; 3,699.83 / sqft;-20.3%
Ishwar nagar;-;-;-
Jaffarpur Kalan;-;-;-
Jaitpur Extension Part II New Delhi;-;-;-
Khirki Extension Panchsheel Vihar;-;-;-
Lodhi Road;-;-;-
Mahavir Enclave Part 2; 4,724 / sqft; 4,724.41 / sqft;-
Nasirpur; 4,000 / sqft; 4,000 / sqft;-37.8%
Paharganj; 8,025 / sqft; 8,24.69 / sqft;-
Pul Pehlad Pur;-;-;-
Raj Nagar 2 Palam Colony;-;-;-5.5%
Raju Parak Extension; 5,556 - 6,111 / sqft; 6,111.11 / sqft;-
Ranjeet Nagar; 4,615 - 8,400 / sqft; 8,400 / sqft;-
Santnagar;-;-;-
Sarai Rohilla;-;-;-
Sat Bari;-;-;-
Sewa Nagar;-;-;-
Shaheen Bagh New Delhi;-;-;-
Shahpur Jat Village;-;-;-
Sriniwaspuri Extn;-;-;-
Sunlight Colony; 4,077 - 5,470 / sqft; 5,470.09 / sqft;-
West Patel Nagar Road;-;-;-
Chhawla; 7,333 / sqft; 7,333.33 / sqft;1.6%
